category,id,repo,commit,resolved_commit,license,use,status,archive_name,archive_bytes,archive_sha256,license_evidence_status,error
core-delta,process-wrap,watchexec/process-wrap,d02486b8d1e393a4ac27023d591b6f35c6417ffb,d02486b8d1e393a4ac27023d591b6f35c6417ffb,Apache-2.0 OR MIT,Windows Job Object process-supervisor donor,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,process-wrap__watchexec_process-wrap__d02486b8d1e393a4ac27023d591b6f35c6417ffb.zip,254795,6321e260803118beb817d22a5cb3655d3435115692988539df2fb04345f2add0,EVIDENCE_FOUND,
core-delta,calamine,tafia/calamine,0a24c2a9f1e38c0932c1299e633270dc730db505,0a24c2a9f1e38c0932c1299e633270dc730db505,MIT,read-only spreadsheet parser,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,calamine__tafia_calamine__0a24c2a9f1e38c0932c1299e633270dc730db505.zip,6219549,4a39ae6a2aae34bb71b8f8f20856689d086fb13b15f549823fbde278cbf3216f,EVIDENCE_FOUND,
core-delta,cargo-deny,EmbarkStudios/cargo-deny,bca0dde53651ee946720e4540b5ce2610bec8f06,bca0dde53651ee946720e4540b5ce2610bec8f06,MIT OR Apache-2.0,Rust licence/advisory/source policy checks,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,cargo-deny__EmbarkStudios_cargo-deny__bca0dde53651ee946720e4540b5ce2610bec8f06.zip,784019,82b79a2157ec0e1255f0154077dcba4035bb77e05f7a8c000025394e9378768b,EVIDENCE_FOUND,
core-delta,cargo-about,EmbarkStudios/cargo-about,f7394d5c8f618623573072caadf6594821c789b6,f7394d5c8f618623573072caadf6594821c789b6,MIT OR Apache-2.0,third-party licence inventory,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,cargo-about__EmbarkStudios_cargo-about__f7394d5c8f618623573072caadf6594821c789b6.zip,131153,ae4aea4f587124a1f1065146e568a724111aba7491eb286b956f52c66476f3d0,EVIDENCE_FOUND,
core-delta,cargo-auditable,rust-secure-code/cargo-auditable,9dc5ff28ff204b73eae91bd96cde4413fdcb70e0,9dc5ff28ff204b73eae91bd96cde4413fdcb70e0,MIT OR Apache-2.0,embed dependency metadata into release binary,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,cargo-auditable__rust-secure-code_cargo-auditable__9dc5ff28ff204b73eae91bd96cde4413fdcb70e0.zip,172094,cfea81df83d191f961fec15d5ec51e005c78ea921162fc01baf8385d302bd4ab,EVIDENCE_FOUND,
core-delta,cargo-fuzz,rust-fuzz/cargo-fuzz,984c861c8dfea28055254c5f1d2659ab2cd63f76,984c861c8dfea28055254c5f1d2659ab2cd63f76,Apache-2.0,parser fuzzing,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,cargo-fuzz__rust-fuzz_cargo-fuzz__984c861c8dfea28055254c5f1d2659ab2cd63f76.zip,54935,7543a7936f4140e21f0814fd911d2beb48ea27b6306928a778eeca3a9031f8f8,EVIDENCE_FOUND,
secondary-a,mediainfo,MediaArea/MediaInfoLib,4728f24b666117a19d36515d95b9367fbb37aaf6,,BSD-2-Clause,optional media metadata comparator,FAILED,,,,,HTTPError: HTTP Error 422: Unprocessable Entity
secondary-a,dangerzone,freedomofpress/dangerzone,6cc19db50166658feff4d72df605f30e97308f16,6cc19db50166658feff4d72df605f30e97308f16,AGPL-3.0,separate optional hostile-document preview tool only,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,dangerzone__freedomofpress_dangerzone__6cc19db50166658feff4d72df605f30e97308f16.zip,1014503,ca28678d4446a6e7f5523f2ca445d771eae05d1818d0c57cb4d2ccd68fd7d79e,EVIDENCE_FOUND,
secondary-a,warcio,webrecorder/warcio,05b1a68d3dda125d12098d0995c0cee920318aa0,05b1a68d3dda125d12098d0995c0cee920318aa0,Apache-2.0,WARC read/write/verification module,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,warcio__webrecorder_warcio__05b1a68d3dda125d12098d0995c0cee920318aa0.zip,114538,9715169a4032f868f5cc87d58882cd104794cae03d6a05a5f7ed0b6a22356dc8,EVIDENCE_FOUND,
secondary-a,whisper-cpp,ggml-org/whisper.cpp,f049fff95a089aa9969deb009cdd4892b3e74916,f049fff95a089aa9969deb009cdd4892b3e74916,MIT,optional offline transcription derivative,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,whisper-cpp__ggml-org_whisper.cpp__f049fff95a089aa9969deb009cdd4892b3e74916.zip,10162197,58347c4dc92142c47b6d6e5a2a7e1b00b501c9bf8cdaff7f089e49ae59eb3a44,EVIDENCE_FOUND,
secondary-b,tesseract,tesseract-ocr/tesseract,db0ec62f81b0737fbbe184d8fea40af5738f8eef,db0ec62f81b0737fbbe184d8fea40af5738f8eef,Apache-2.0,optional OCR derivative,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,tesseract__tesseract-ocr_tesseract__db0ec62f81b0737fbbe184d8fea40af5738f8eef.zip,2533335,d2470cc33ee34deeae6fc47809d0b33a3623a4343d92ff317ac3b9903c507bad,EVIDENCE_FOUND,
secondary-b,browsertrix-crawler,webrecorder/browsertrix-crawler,8908ccc4aa0e17fe2c3266bed0a8b8e017a0fed4,8908ccc4aa0e17fe2c3266bed0a8b8e017a0fed4,AGPL-3.0-or-later,separate optional browser-capture appliance,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,browsertrix-crawler__webrecorder_browsertrix-crawler__8908ccc4aa0e17fe2c3266bed0a8b8e017a0fed4.zip,2463951,5e9bd3146fd3109ea69d74d8009b897b0782ad1d81c07cb310c522436bfee06d,EVIDENCE_FOUND,
secondary-b,c2pa-rs,contentauth/c2pa-rs,3f40cdd22b60bf955d531b0301604e3f257e0a19,3f40cdd22b60bf955d531b0301604e3f257e0a19,Apache-2.0 OR MIT,corroborating C2PA authenticity signal only,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,c2pa-rs__contentauth_c2pa-rs__3f40cdd22b60bf955d531b0301604e3f257e0a19.zip,164806158,1e89d85edf34a0ecf49987ec9098d65f803758f8d772040058dfcb72be32539b,EVIDENCE_FOUND,
secondary-b,exiftool,exiftool/exiftool,2200871d9cef988051d2a99d67df3bda6cbb30a8,2200871d9cef988051d2a99d67df3bda6cbb30a8,Artistic OR GPL,read-only metadata comparator,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,exiftool__exiftool_exiftool__2200871d9cef988051d2a99d67df3bda6cbb30a8.zip,9385877,564e90d3c74cd9062b38e0be0475ed6d4a10553128a648027edb70723bfc3f1c,EVIDENCE_FOUND,
secondary-b,pyhanko,MatthieuDartiailh/pyHanko,0945f9bc64ef6ef386500943ee2b5941b5f142cd,,MIT,optional PDF-signature comparator only,FAILED,,,,,HTTPError: HTTP Error 404: Not Found
secondary-c,msoffcrypto-tool,nolze/msoffcrypto-tool,6d9e72c58de2cf7df1ab45ac0d74ebedac8c58e3,6d9e72c58de2cf7df1ab45ac0d74ebedac8c58e3,MIT,known-key Office decryption derivative only,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,msoffcrypto-tool__nolze_msoffcrypto-tool__6d9e72c58de2cf7df1ab45ac0d74ebedac8c58e3.zip,339974,9c8691994925c04f0a0608644aff8f72d70160430f930c0d3fbb1db26ea70a93,EVIDENCE_FOUND,
secondary-c,libpff,libyal/libpff,d8ab3594683ee9f3ec63ab0e2efd79d545854846,d8ab3594683ee9f3ec63ab0e2efd79d545854846,LGPL-3.0-or-later,optional PST/OST comparator; alpha status explicit,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,libpff__libyal_libpff__d8ab3594683ee9f3ec63ab0e2efd79d545854846.zip,1085857,9cdff8d8bacbfecec695da6341e8464a7acf4f7f887add2d23a194a4d4bd0c22,EVIDENCE_FOUND,
secondary-c,msg-extractor,TeamMsgExtractor/msg-extractor,f9a078fd3237ab7d3dbf922ab2fb6e12daf8bbd5,f9a078fd3237ab7d3dbf922ab2fb6e12daf8bbd5,GPL-3.0,separate Outlook MSG comparator,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,msg-extractor__TeamMsgExtractor_msg-extractor__f9a078fd3237ab7d3dbf922ab2fb6e12daf8bbd5.zip,7084356,fc2db860ee539b6f565901db8ad2d1d3f181c4680829e53154b0f2380c55a48e,EVIDENCE_FOUND,
secondary-c,oletools,decalage2/oletools,ec10260989dbc48b9109e3d05d22beee19cf2333,ec10260989dbc48b9109e3d05d22beee19cf2333,BSD-style,legacy Office macro/OLE forensics,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,oletools__decalage2_oletools__ec10260989dbc48b9109e3d05d22beee19cf2333.zip,3376555,3d1060fd7c52cd76753f962231f081fafcc3fac3831733ccb20844b1da4946e7,EVIDENCE_FOUND,
secondary-c,apache-tika,apache/tika,cd800dd8d37a85ec7e258c7ca4cc61752b3ca600,cd800dd8d37a85ec7e258c7ca4cc61752b3ca600,Apache-2.0,independent format/metadata comparator,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,apache-tika__apache_tika__cd800dd8d37a85ec7e258c7ca4cc61752b3ca600.zip,156230167,7827734b49068ea5c4124c31c4d16733124a59e562a5ff90a32e59a66d81ea4f,EVIDENCE_FOUND,
secondary-d,droid,digital-preservation/droid,deb91d041ba834077284156774e7352c3df1f87a,deb91d041ba834077284156774e7352c3df1f87a,BSD-3-Clause,PRONOM/DROID comparator only,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,droid__digital-preservation_droid__deb91d041ba834077284156774e7352c3df1f87a.zip,13191636,486efd22211c416606ea7f689070758c544bb786d5b38f7046b894b3661f99c0,EVIDENCE_FOUND,
secondary-d,jhove,openpreserve/jhove,38115c6071a158b750c6bf2ce552240455e68fcc,38115c6071a158b750c6bf2ce552240455e68fcc,LGPL-2.1-or-later,independent archival-format validator,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,jhove__openpreserve_jhove__38115c6071a158b750c6bf2ce552240455e68fcc.zip,248170945,bc141864d2e957e9b17610ccf97e60c443a304f033b520cf08edd3155b469a33,EVIDENCE_FOUND,
secondary-d,magika,google/magika,5e2f437fb7b7452368c8c1fa9354858f5487a5c4,5e2f437fb7b7452368c8c1fa9354858f5487a5c4,Apache-2.0,fuzzy ML secondary file-type signal only,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,magika__google_magika__5e2f437fb7b7452368c8c1fa9354858f5487a5c4.zip,84532977,54983bcea9c11499aee7162ed11989167918b37b69adce67a4891f2fd3e1d7a0,EVIDENCE_FOUND,
secondary-d,clamav,Cisco-Talos/clamav,fa59fca15872bb8a914ba4c68188bcc8a502cbdf,fa59fca15872bb8a914ba4c68188bcc8a502cbdf,GPL-2.0-family,separate optional malware scanner; clean never means safe,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,clamav__Cisco-Talos_clamav__fa59fca15872bb8a914ba4c68188bcc8a502cbdf.zip,14935925,31e15ccf9cfd241f446209707b30f0c13d2209efff12541ed937115b4d75e958,EVIDENCE_FOUND,
secondary-d,libarchive,libarchive/libarchive,27cbc7827172698143e440801fc0ba39ccb4f1f5,27cbc7827172698143e440801fc0ba39ccb4f1f5,BSD-style with per-file exceptions,non-ZIP archive comparator under MCR limits,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,libarchive__libarchive_libarchive__27cbc7827172698143e440801fc0ba39ccb4f1f5.zip,7853394,37ff6caddbeca67bb551fd5e3edf80b8d69fa0f644d92bdd0052534bf055d6a0,EVIDENCE_FOUND,
legal-reference,pdfid,DidierStevens/DidierStevensSuite,dea6816048fb2fd3a3597f2e131449fc87f60138,dea6816048fb2fd3a3597f2e131449fc87f60138,Public Domain,PDFiD lexical risk-indicator donor only,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,pdfid__DidierStevens_DidierStevensSuite__dea6816048fb2fd3a3597f2e131449fc87f60138.zip,14069935,cc03ce03f75e31b7c9a03f5c85d07a3465af4121691399166b43513ffacba516,EVIDENCE_OPEN_REVIEW_REQUIRED,
legal-reference,bagit-python,LibraryOfCongress/bagit-python,4bd2713cedbe1f8e634567c20ef0dded9622011d,4bd2713cedbe1f8e634567c20ef0dded9622011d,Public Domain,BagIt-style fixity/package reference,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,bagit-python__LibraryOfCongress_bagit-python__4bd2713cedbe1f8e634567c20ef0dded9622011d.zip,1031542,130e7351cbc91bd76232eab86782f0b98fc4ff6fba51e2740f09e04c50645bbb,EVIDENCE_FOUND,
legal-reference,legislation-mcp-ts,legislation/legislation-mcp-ts,8261b2aada185aa846d34288790d1321ac79c8dc,8261b2aada185aa846d34288790d1321ac79c8dc,OGL v3 / repository notices,technical route to legislation.gov.uk; official source remains authority,DOWNLOADED_HASHED_AND_ZIP_VERIFIED,legislation-mcp-ts__legislation_legislation-mcp-ts__8261b2aada185aa846d34288790d1321ac79c8dc.zip,331638,380d457d7fe78f52f41565a283326165ddc864892c9d89bb32a915e95d342e4d,EVIDENCE_FOUND,
